potential,forwardcurrent,backwardcurrent,fbcurrent
-812.0,-1.642863151573716e-08,-1.2673538447245572e-08,-3.7550930684915865e-09
-816.0,-1.6187828722138648e-08,-1.2603602322372078e-08,-3.58422639976657e-09
-820.0,-1.6040803914165964e-08,-1.2519361081047187e-08,-3.5214428331187776e-09
-824.0,-1.5977225618826423e-08,-1.2456577514399391e-08,-3.520648104427032e-09
-828.0,-1.5891394920118043e-08,-1.2526513639272885e-08,-3.364881280845158e-09
-832.0,-1.585165848553083e-08,-1.2250742783237629e-08,-3.6009157022932026e-09
-836.0,-1.5447936310124752e-08,-1.1989277043653772e-08,-3.4586592664709803e-09
-840.0,-1.5239717392887758e-08,-1.1992455958420748e-08,-3.2472614344670096e-09
-844.0,-1.5233359563353805e-08,-1.1920135647472021e-08,-3.3132239158817832e-09
-848.0,-1.5102229329216003e-08,-1.1861325724282946e-08,-3.2409036049330568e-09
-852.0,-1.5039445762568208e-08,-1.1804105258477361e-08,-3.2353405040908464e-09
-856.0,-1.5003682971439715e-08,-1.178900541333422e-08,-3.214677558105495e-09
-860.0,-1.4963946536852503e-08,-1.1777879211649801e-08,-3.186067325202702e-09
-864.0,-1.497268855246169e-08,-1.178900541333422e-08,-3.18368313912747e-09
-868.0,-1.4932952117874478e-08,-1.1758010994356193e-08,-3.1749411235182848e-09
-872.0,-1.4879705295527612e-08,-1.1685690683407467e-08,-3.194014612120145e-09
-876.0,-1.4852684520008307e-08,-1.1649133163587232e-08,-3.2035513564210757e-09
-880.0,-1.4812948085421096e-08,-1.1598270527315599e-08,-3.2146775581054965e-09
-884.0,-1.4757317076998997e-08,-1.1514824014682454e-08,-3.2424930623165433e-09
-888.0,-1.4654002347072245e-08,-1.1442503703733727e-08,-3.2114986433385184e-09
-892.0,-1.4575324206589565e-08,-1.1403561997838258e-08,-3.1717622087513067e-09
-896.0,-1.4578503121356541e-08,-1.1365415020634534e-08,-3.2130881007220066e-09
-900.0,-1.4502209166949092e-08,-1.125812664724906e-08,-3.2440825197000315e-09
-904.0,-1.4465651647128857e-08,-1.1293889438377552e-08,-3.171762208751305e-09
-908.0,-1.4504593353024326e-08,-1.1268458120241736e-08,-3.2361352327825905e-09
-912.0,-1.4504593353024326e-08,-1.1267663391549992e-08,-3.2369299614743346e-09
-916.0,-1.4460088546286648e-08,-1.1218390212661847e-08,-3.241698333624801e-09
-920.0,-1.4578503121356541e-08,-1.1312962926979414e-08,-3.2655401943771272e-09
-924.0,-1.4598371338650147e-08,-1.1256537189865571e-08,-3.341834148784576e-09
-928.0,-1.4635723587162128e-08,-1.1277994864542667e-08,-3.3577287226194612e-09
-932.0,-1.4692149324275969e-08,-1.1304220911370227e-08,-3.387928412905742e-09
-936.0,-1.4782748395134813e-08,-1.1261305562016037e-08,-3.521442833118776e-09
-940.0,-1.4788311495977023e-08,-1.1265279205474758e-08,-3.5230322905022658e-09
-944.0,-1.4890831497212032e-08,-1.1277200135850923e-08,-3.61363136136111e-09
-948.0,-1.501004080097367e-08,-1.127878959323441e-08,-3.73125120773926e-09
-952.0,-1.4971893823769944e-08,-1.1301836725294995e-08,-3.6700570984749494e-09
