potential,forwardcurrent,backwardcurrent,fbcurrent,basecurrent_4,basecurrent_3
-812.0,-1.7658871530557256e-08,-1.4099281720234758e-08,-3.5595898103225007e-09,2.926850925035149e-09,2.7547954457251685e-09
-816.0,-1.695235772359662e-08,-1.40659031151815e-08,-2.8864546084151196e-09,2.891722578521451e-09,2.7655439520184542e-09
-820.0,-1.6955536638363595e-08,-1.391410993505835e-08,-3.041426703305248e-09,2.8631671501915883e-09,2.7774136829416438e-09
-824.0,-1.6709965472614627e-08,-1.3477009154599008e-08,-3.232956318015614e-09,2.84081329281382e-09,2.79037007583697e-09
-828.0,-1.6309422211975514e-08,-1.3120970700697584e-08,-3.188451511277936e-09,2.824298578613355e-09,2.8043785680466666e-09
-832.0,-1.5964509959758514e-08,-1.2900830853084425e-08,-3.0636791066740874e-09,2.81326949927235e-09,2.8194045969129655e-09
-836.0,-1.5771390887664662e-08,-1.2756984959878718e-08,-3.014405927785945e-09,2.8073814659299124e-09,2.8354135997781003e-09
-840.0,-1.5648207940444302e-08,-1.2710095967065807e-08,-2.9381119733784945e-09,2.8062988091820987e-09,2.8523710139843035e-09
-844.0,-1.5650592126519536e-08,-1.2710095967065807e-08,-2.9404961594537285e-09,2.8096947790819146e-09,2.8702422768738086e-09
-848.0,-1.5614829335391043e-08,-1.2707711780990572e-08,-2.907117554400469e-09,2.817251545139315e-09,2.888992825788848e-09
-852.0,-1.5618802978849762e-08,-1.2680691005471269e-08,-2.9381119733784957e-09,2.8286601963212045e-09,2.9085880980716546e-09
-856.0,-1.5631518637917674e-08,-1.2702943408840107e-08,-2.928575229077565e-09,2.843620741051437e-09,2.928993531064462e-09
-860.0,-1.5616418792774538e-08,-1.2698175036689644e-08,-2.918243756084892e-09,2.861842107210815e-09,2.9501745621095025e-09
-864.0,-1.560847150585709e-08,-1.2680691005471269e-08,-2.9277805003858208e-09,2.883042142137092e-09,2.972096628549009e-09
-868.0,-1.563867119614337e-08,-1.2657643873410688e-08,-2.981027322732686e-09,2.9069476126249684e-09,2.9947251677252147e-09
-872.0,-1.560131894763139e-08,-1.2658438602102431e-08,-2.942880345528961e-09,2.933294204926097e-09,3.018025616980353e-09
-876.0,-1.5598140032864415e-08,-1.2574992089469284e-08,-3.023147943395132e-09,2.9618265247490777e-09,3.0419634136566555e-09
-880.0,-1.5569529799961618e-08,-1.25590975156344e-08,-3.010432284327221e-09,2.992298097259461e-09,3.0665039950963564e-09
-884.0,-1.5549661582668017e-08,-1.2471677359542532e-08,-3.0779842231254845e-09,3.0244713670797444e-09,3.0916127986416883e-09
-888.0,-1.5528203907990918e-08,-1.2452603870940667e-08,-3.075600037050252e-09,3.058117698289379e-09,3.1172552616348836e-09
-892.0,-1.551866716368999e-08,-1.2345315497555197e-08,-3.173351666134793e-09,3.0930173744247614e-09,3.143396821418176e-09
-896.0,-1.5489262202095452e-08,-1.2334189295870776e-08,-3.155072906224676e-09,3.128959598479239e-09,3.170002915333798e-09
-900.0,-1.5432041736289867e-08,-1.2242795496320188e-08,-3.1892462399696786e-09,3.165742492903109e-09,3.1970389807239823e-09
-904.0,-1.539548421646963e-08,-1.2189548673973323e-08,-3.205935542496308e-09,3.2031730996036167e-09,3.224470454930962e-09
-908.0,-1.5400252588620096e-08,-1.2126765107325526e-08,-3.27348748129457e-09,3.24106737994496e-09,3.252262775296971e-09
-912.0,-1.5375615999176024e-08,-1.2091797044888779e-08,-3.2838189542872453e-09,3.2792502147482803e-09,3.2803813791642404e-09
-916.0,-1.538197382870998e-08,-1.2052060610301567e-08,-3.3299132184084127e-09,3.3175554042916732e-09,3.3087917038750043e-09
-920.0,-1.538992111562742e-08,-1.201152944702261e-08,-3.378391668604811e-09,3.355825668310184e-09,3.337459186771496e-09
-924.0,-1.5386742200860444e-08,-1.19646404542097e-08,-3.422101746650745e-09,3.393912645995803e-09,3.3663492651959475e-09
-928.0,-1.541773661983847e-08,-1.1969408826360164e-08,-3.448327793478305e-09,3.431676895997474e-09,3.395427376490592e-09
-932.0,-1.5438399565823816e-08,-1.1997224330571213e-08,-3.4411752352526047e-09,3.468987896421089e-09,3.4246589579976633e-09
-936.0,-1.5565556156502902e-08,-1.2012324175714354e-08,-3.5532319807885483e-09,3.505724044829486e-09,3.4540094470593923e-09
-940.0,-1.567204980119663e-08,-1.2050471152918079e-08,-3.621578648278553e-09,3.5417726582424605e-09,3.4834442810180142e-09
-944.0,-1.5760264685980242e-08,-1.201470836178959e-08,-3.745556324190654e-09,3.5770299731367467e-09,3.5129288972157608e-09
-948.0,-1.5890600191426298e-08,-1.2083055029279592e-08,-3.807545162146709e-09,3.6114011454460383e-09,3.542428732994865e-09
-952.0,-1.5994709650044796e-08,-1.2075902471053895e-08,-3.918807178990901e-09,3.64480025056097e-09,3.57190922569756e-09
-956.0,-1.6110740039039458e-08,-1.199642960187947e-08,-4.114310437159988e-09,3.677150283329132e-09,3.601335812666079e-09
