potential,forwardcurrent,backwardcurrent,fbcurrent,basecurrent_4
-812.0,-2.4805071926721564e-08,-2.105713141645568e-08,-3.747940510265888e-09,3.258023167408003e-09
-816.0,-2.3968222614314868e-08,-2.0607314976928432e-08,-3.3609076373864397e-09,3.1953302308235228e-09
-820.0,-2.3531916562547272e-08,-2.0393532958849228e-08,-3.1383836036980445e-09,3.1427187218683663e-09
-824.0,-2.3451648964681103e-08,-2.0267965825553636e-08,-3.1836831391274703e-09,3.099663193975573e-09
-828.0,-2.3332439660919468e-08,-2.0151140707867232e-08,-3.1812989530522392e-09,3.0656497021408923e-09
-832.0,-2.3206872527623877e-08,-2.0077230939535016e-08,-3.1296415880888573e-09,3.040175802922783e-09
-836.0,-2.3152036247893522e-08,-2.0123325203656183e-08,-3.028711044237342e-09,3.022750554442415e-09
-840.0,-2.3214819814541318e-08,-2.01344514053406e-08,-3.0803684092007172e-09,3.012894516383666e-09
-844.0,-2.3228330202300966e-08,-2.0109020087204783e-08,-3.119310115096186e-09,3.010139749993123e-09
-848.0,-2.3209256713699107e-08,-2.006848892392583e-08,-3.140767789773279e-09,3.0140298180800846e-09
-852.0,-2.3204488341548643e-08,-2.000888427204501e-08,-3.195604069503633e-09,3.0241197850165575e-09
-856.0,-2.31822359381798e-08,-1.9989810783443148e-08,-3.192425154736653e-09,3.039976216737259e-09
-860.0,-2.3161572992194448e-08,-1.9929411402870583e-08,-3.2321615893238688e-09,3.061177180739615e-09
-864.0,-2.311706818545677e-08,-1.983563341724476e-08,-3.281434768212013e-09,3.0873122460837623e-09
-868.0,-2.3061437177034678e-08,-1.9765697292371268e-08,-3.2957398846634093e-09,3.1179824833925455e-09
-872.0,-2.3010574540763045e-08,-1.9615493569631605e-08,-3.395080971131441e-09,3.1528004648515203e-09
-876.0,-2.2974811749634556e-08,-1.9554299460367294e-08,-3.420512289267255e-09,3.191390264208951e-09
-880.0,-2.2865933918865592e-08,-1.9482773878110315e-08,-3.383160040755277e-09,3.2333874567758133e-09
-884.0,-2.2799971437450817e-08,-1.93818433342588e-08,-3.4181281031920208e-09,3.2784391194257906e-09
-888.0,-2.2771361204548026e-08,-1.9294423178166928e-08,-3.4769380263810975e-09,3.326203830595276e-09
-892.0,-2.275864554548012e-08,-1.927217077479809e-08,-3.48647477068203e-09,3.3763516702833735e-09
-896.0,-2.2753082444637907e-08,-1.9176803331788775e-08,-3.576279112849129e-09,3.4285642200518963e-09
-900.0,-2.2698246164907552e-08,-1.915296147103645e-08,-3.545284693871101e-09,3.4825345630253668e-09
-904.0,-2.2714935467434183e-08,-1.912832488159238e-08,-3.586610585841804e-09,3.537967283891016e-09
-908.0,-2.274434042902872e-08,-1.909653573392261e-08,-3.647804695106111e-09,3.5945784688987863e-09
-912.0,-2.2739572056878252e-08,-1.9076667516628998e-08,-3.6629045402492537e-09,3.6520957058613304e-09
-916.0,-2.2803150352217797e-08,-1.9093356819155632e-08,-3.7097935330621607e-09,3.710258084154008e-09
-920.0,-2.287785484924176e-08,-1.9080641160087724e-08,-3.797213689154032e-09,3.76881619471489e-09
-924.0,-2.290090198130234e-08,-1.9091767361772144e-08,-3.809134619530195e-09,3.827532130044756e-09
-928.0,-2.3039979502357585e-08,-1.9149782556269472e-08,-3.890196946088111e-09,3.886179484207096e-09
-932.0,-2.3132168030599914e-08,-1.9174419145713544e-08,-3.95774888488637e-09,3.94454335282811e-09
-936.0,-2.3276013923805625e-08,-1.9178392789172266e-08,-4.09762113463336e-09,4.002420333096707e-09
-940.0,-2.3405554700559942e-08,-1.9238792169744828e-08,-4.166762530815111e-09,4.059618523764506e-09
-944.0,-2.356688462498402e-08,-1.928170751909902e-08,-4.285177105885e-09,4.115957525145834e-09
-948.0,-2.367894137051996e-08,-1.9319854496302746e-08,-4.359086874217216e-09,4.1712684391177295e-09
-952.0,-2.38951075746744e-08,-1.939614845071019e-08,-4.498959123964209e-09,4.225393869119941e-09
-956.0,-2.4095379204993948e-08,-1.9431911241838686e-08,-4.663467963155265e-09,4.278187920154925e-09
