potential,current,current_filtered_50Hz,basecurrent_4,basecurrent_3
-101.0625,5.074342696787043e-09,5.1654668973484066e-09,-7.286599545249944e-10,-4.4364642601644226e-08
-101.5625,4.517237883874323e-09,4.752891880836389e-09,-7.286205422676175e-10,-4.4253739695037e-08
-102.0625,4.507701139573392e-09,4.113145036980372e-09,-7.284882896345524e-10,-4.414289399188556e-08
-102.5625,4.761219592239809e-09,4.075576640916521e-09,-7.282632893263311e-10,-4.4032105482056625e-08
-103.0625,3.983180203022186e-09,3.1497512044524917e-09,-7.279456340138766e-10,-4.392137415541689e-08
-103.5625,4.772345793924228e-09,3.468126065625296e-09,-7.275354163385032e-10,-4.381070000183306e-08
-104.0625,3.4523014369370267e-09,2.266040544503156e-09,-7.270327289119169e-10,-4.3700083011171846e-08
-104.5625,3.758271983258564e-09,2.691159890631625e-09,-7.264376643162141e-10,-4.3589523173299955e-08
-105.0625,2.592404992469747e-09,1.431425644504766e-09,-7.257503151038833e-10,-4.34790204780841e-08
-105.5625,2.501011192919158e-09,1.8020714748799465e-09,-7.249707737978033e-10,-4.336857491539098e-08
-106.0625,6.278356664779582e-10,6.88471780334956e-10,-7.24099132891245e-10,-4.32581864750873e-08
-106.5625,7.057190782688949e-10,8.675571464407476e-10,-7.231354848478701e-10,-4.3147855147039785e-08
-107.0625,-6.095569065678407e-10,4.055110350017293e-11,-7.220799221017316e-10,-4.303758092111512e-08
-107.5625,-1.6125045155490853e-09,-2.6948871729283838e-11,-7.209325370572737e-10,-4.292736378718002e-08
-108.0625,-2.276102973155535e-09,-6.095690640919287e-10,-7.196934220893319e-10,-4.28172037351012e-08
-108.5625,-2.3865702613079863e-09,-6.517106396051745e-10,-7.183626695431331e-10,-4.270710075474535e-08
-109.0625,-3.1161312003292084e-09,-1.2086970715299638e-09,-7.169403717342951e-10,-4.259705483597919e-08
-109.5625,-2.6035311941541665e-09,-1.0156901276588047e-09,-7.15426620948827e-10,-4.248706596866943e-08
-110.0625,-2.805392281857206e-09,-1.6181938922553281e-09,-7.138215094431292e-10,-4.2377134142682765e-08
-110.5625,-2.2021932048233195e-09,-1.3014366150568361e-09,-7.121251294439935e-10,-4.226725934788591e-08
-111.0625,-2.2729240583885582e-09,-1.8890054834890507e-09,-7.103375731486027e-10,-4.2157441574145577e-08
-111.5625,-1.1507671456456754e-09,-1.512896668115394e-09,-7.084589327245307e-10,-4.204768081132846e-08
-112.0625,-1.2207032705191694e-09,-2.1757001831395473e-09,-7.064893003097434e-10,-4.193797704930127e-08
