potential,current,current_filtered_50Hz,basecurrent_3
-100.75,-7.214547063654311e-09,-7.4021530819292145e-09,-3.6682798500066654e-09
-101.25,-1.1642775334053277e-08,-9.815467535999268e-09,-3.640723725595589e-09
-101.75,-1.4336110870374545e-08,-1.072756945012969e-08,-3.6131750045746585e-09
-102.25,-1.6281606707764468e-08,-1.3585497145140477e-08,-3.5856336896978783e-09
-102.75,-1.3432504347861331e-08,-1.3224458520550818e-08,-3.558099783719252e-09
-103.25,-1.717408702859326e-08,-1.5900590497816566e-08,-3.5305732893927834e-09
-103.75,-1.9040904725500512e-08,-1.6257963406669065e-08,-3.503054209472476e-09
-104.25,-2.13162129699643e-08,-1.7718734043672763e-08,-3.475542546712334e-09
-104.75,-2.215544646844623e-08,-1.9318701134469706e-08,-3.448038303866361e-09
-105.25,-1.940727465239461e-08,-1.932541070646023e-08,-3.420541483688561e-09
-105.75,-2.1511716228133392e-08,-2.0905295869100504e-08,-3.393052088932938e-09
-106.25,-2.289613360915187e-08,-2.0964543621483667e-08,-3.3655701223534952e-09
-106.75,-2.267678849023046e-08,-2.1736852211197756e-08,-3.338095586704237e-09
-107.25,-2.217451995704809e-08,-2.259402634973502e-08,-3.3106284847391663e-09
-107.75,-2.1812123673612715e-08,-2.2521610540236796e-08,-3.2831688192122875e-09
-108.25,-2.3113889270689802e-08,-2.3670874099649224e-08,-3.255716592877605e-09
-108.75,-2.2168956856205878e-08,-2.294004869604098e-08,-3.228271808489122e-09
-109.25,-2.3028058571981422e-08,-2.4000992430402066e-08,-3.200834468800842e-09
-109.75,-2.1886033441944928e-08,-2.31554853109222e-08,-3.173404576566769e-09
-110.25,-2.2860370818023382e-08,-2.3779105612104112e-08,-3.1459821345409073e-09
-110.75,-2.2175314685739837e-08,-2.334867941367194e-08,-3.1185671454772604e-09
-111.25,-2.1658741036106072e-08,-2.34141544720291e-08,-3.0911596121298317e-09
-111.75,-2.2549631899551384e-08,-2.3354492312940084e-08,-3.0637595372526257e-09
-112.25,-2.3127399658449447e-08,-2.3366586614620487e-08,-3.036366923599646e-09
-112.75,-2.2700630350982786e-08,-2.334680128553245e-08,-3.008981773924896e-09
-113.25,-2.319256741117248e-08,-2.3643439855333555e-08,-2.9816040909823795e-09
-113.75,-2.4096173933685687e-08,-2.3539544790505328e-08,-2.954233877526101e-09
-114.25,-2.5548937982194186e-08,-2.404223307578036e-08,-2.926871136310064e-09
-114.75,-2.574285178297978e-08,-2.3841115659399663e-08,-2.8995158700882717e-09
-115.25,-2.599954915041317e-08,-2.440366159986101e-08,-2.8721680816147287e-09
-115.75,-2.538601860038661e-08,-2.4147503024682874e-08,-2.8448277736434384e-09
-116.25,-2.626419380476401e-08,-2.457467702701583e-08,-2.8174949489284048e-09
-116.75,-2.5880339846651534e-08,-2.4397876845437393e-08,-2.7901696102236314e-09
-117.25,-2.496481239376216e-08,-2.4696469136161412e-08,-2.7628517602831226e-09
-117.75,-2.4421217968609092e-08,-2.4403683414301168e-08,-2.7355414018608816e-09
-118.25,-2.480666138410505e-08,-2.4980777649835765e-08,-2.7082385377109128e-09
-118.75,-2.3403170514484704e-08,-2.4172361255507444e-08,-2.6809431705872196e-09
-119.25,-2.4256709129418035e-08,-2.528807336353691e-08,-2.653655303243805e-09
-119.75,-2.309402105339619e-08,-2.410048165895956e-08,-2.6263749384346744e-09
-120.25,-2.463102634322957e-08,-2.5307917143345368e-08,-2.5991020789138312e-09
-120.75,-2.3179057023412825e-08,-2.443481911456732e-08,-2.571836727435278e-09
-121.25,-2.3620131447330882e-08,-2.5109119134068575e-08,-2.54457888675302e-09
-121.75,-2.3783050829138454e-08,-2.486667828947062e-08,-2.5173285596210605e-09
-122.25,-2.412875781004721e-08,-2.508387746375178e-08,-2.490085748793403e-09
-122.75,-2.466917332043329e-08,-2.5033074020767574e-08,-2.462850457024052e-09
-123.25,-2.485672929168494e-08,-2.535401963142072e-08,-2.435622687067011e-09
-123.75,-2.4467312232730253e-08,-2.5070489250465448e-08,-2.408402441676283e-09
-124.25,-2.6384197837217394e-08,-2.5638176045963016e-08,-2.3811897236058727e-09
-124.75,-2.68117618733758e-08,-2.524257048065752e-08,-2.3539845356097845e-09
-125.25,-2.7032696449680696e-08,-2.5728584576959177e-08,-2.3267868804420207e-09
-125.75,-2.6832424819361143e-08,-2.5430915567236207e-08,-2.2995967608565855e-09
-126.25,-2.7461055214530848e-08,-2.5804759396344528e-08,-2.272414179607484e-09
-126.75,-2.6796662028232653e-08,-2.5631432125084795e-08,-2.2452391394487183e-09
-127.25,-2.6764872880562886e-08,-2.6199424630775428e-08,-2.2180716431342935e-09
-127.75,-2.662897427427462e-08,-2.5751803959772088e-08,-2.1909116934182127e-09
-128.25,-2.7062101411275236e-08,-2.65843415240654e-08,-2.1637592930544793e-09
-128.75,-2.494255999039332e-08,-2.5686160239632828e-08,-2.1366144447970984e-09
-129.25,-2.559264806024012e-08,-2.636618751054303e-08,-2.1094771514000726e-09
-129.75,-2.502680123171821e-08,-2.58683601935478e-08,-2.0823474156174065e-09
-130.25,-2.5398734259454516e-08,-2.6050486579934495e-08,-2.0552252402031035e-09
-130.75,-2.5605363719308025e-08,-2.6002957125211912e-08,-2.028110627911167e-09
-131.25,-2.500057518489065e-08,-2.6405970843664726e-08,-2.001003581495602e-09
-131.75,-2.5252504180173575e-08,-2.5279197556900086e-08,-1.9739041037104113e-09
-132.25,-2.6772025438788585e-08,-2.6810846112042357e-08,-1.946812197309599e-09
-132.75,-2.1576089252164672e-08,-2.456488988145339e-08,-1.919727865047169e-09
-133.25,-2.514601053547985e-08,-2.6612335664811402e-08,-1.892651109677125e-09
-133.75,-2.5361382010942538e-08,-2.496611873609096e-08,-1.865581933953471e-09
-134.25,-2.6298367138509007e-08,-2.6363787630602813e-08,-1.8385203406302103e-09
-134.75,-2.671877861644172e-08,-2.5366351331009117e-08,-1.811466332461347e-09
-135.25,-2.8293930883478825e-08,-2.6336098082557082e-08,-1.7844199122008854e-09
-135.75,-2.623081519971075e-08,-2.519028009607469e-08,-1.7573810826028283e-09
-136.25,-2.8028491500436246e-08,-2.624201372193502e-08,-1.7303498464211802e-09
-136.75,-2.7199589474946994e-08,-2.539717392304132e-08,-1.7033262064099452e-09
