potential,current,current_filtered_()Hz,current_filtered_50Hz
-100.8125,-1.3629597063413903e-08,-1.3521353397832186e-08,-1.3521353397832214e-08
-101.3125,-1.6615392758297057e-08,-1.4810683517972833e-08,-1.4810683517972846e-08
-101.8125,-1.7195544703270354e-08,-1.538787375535117e-08,-1.5387873755351164e-08
-102.3125,-1.8314522701246264e-08,-1.6719815760580467e-08,-1.6719815760580457e-08
-102.8125,-1.7677945019159118e-08,-1.6789404597928047e-08,-1.6789404597928037e-08
-103.3125,-1.8034778201752287e-08,-1.7901743549351382e-08,-1.7901743549351362e-08
-103.8125,-1.8310549057787545e-08,-1.8068575468013008e-08,-1.8068575468012995e-08
-104.3125,-1.942793759837996e-08,-1.9151114836635228e-08,-1.9151114836635215e-08
-104.8125,-1.8974942244085737e-08,-1.9282729176200397e-08,-1.9282729176200374e-08
-105.3125,-1.9718808299558358e-08,-2.0323286261562885e-08,-2.0323286261562885e-08
-105.8125,-2.00859729551442e-08,-2.019342004845881e-08,-2.0193420048458804e-08
-106.3125,-2.1513305685516883e-08,-2.116364513720143e-08,-2.1163645137201417e-08
-106.8125,-2.12065404105036e-08,-2.1045699310602103e-08,-2.1045699310602093e-08
-107.3125,-2.2102199646099367e-08,-2.1906544757931857e-08,-2.190654475793184e-08
-107.8125,-2.2521021666648586e-08,-2.1998480217687782e-08,-2.199848021768777e-08
-108.3125,-2.331972400185156e-08,-2.2576996618150718e-08,-2.257699661815071e-08
-108.8125,-2.3335618575686444e-08,-2.2678521140333153e-08,-2.2678521140333147e-08
-109.3125,-2.321879345800004e-08,-2.312702407131588e-08,-2.3127024071315886e-08
-109.8125,-2.3146473147051308e-08,-2.2836654313624762e-08,-2.283665431362477e-08
-110.3125,-2.4239225098199658e-08,-2.358838984323767e-08,-2.3588389843237704e-08
-110.8125,-2.3005011439920835e-08,-2.2738151583614998e-08,-2.2738151583615025e-08
-111.3125,-2.3627284005556584e-08,-2.379837301114197e-08,-2.3798373011141993e-08
-111.8125,-2.2421680580180555e-08,-2.2843505514818807e-08,-2.284350551481881e-08
-112.3125,-2.3774308813529268e-08,-2.381047631480622e-08,-2.38104763148062e-08
-112.8125,-2.280712399567652e-08,-2.3254989320996402e-08,-2.3254989320996356e-08
-113.3125,-2.2693477792757088e-08,-2.395717353482351e-08,-2.3957173534823458e-08
-113.8125,-2.2998653610386882e-08,-2.365489223986109e-08,-2.3654892239861044e-08
-114.3125,-2.3954712226555213e-08,-2.436018302634709e-08,-2.436018302634705e-08
-114.8125,-2.289533888046013e-08,-2.398879811626492e-08,-2.3988798116264893e-08
-115.3125,-2.394040711010382e-08,-2.4860502902088018e-08,-2.4860502902088008e-08
-115.8125,-2.437989207663839e-08,-2.4452347236081824e-08,-2.4452347236081828e-08
-116.3125,-2.5608542634075e-08,-2.533538848212904e-08,-2.5335388482129042e-08
-116.8125,-2.5138063248562404e-08,-2.495812218119144e-08,-2.495812218119145e-08
-117.3125,-2.6088558763888528e-08,-2.575642649498552e-08,-2.5756426494985533e-08
-117.8125,-2.620458915288319e-08,-2.53663571968327e-08,-2.5366357196832724e-08
-118.3125,-2.7252836297293854e-08,-2.613713539312791e-08,-2.6137135393127937e-08
-118.8125,-2.6617053343898457e-08,-2.5757282563763485e-08,-2.575728256376352e-08
-119.3125,-2.7218662963548846e-08,-2.6518922982671816e-08,-2.6518922982671843e-08
-119.8125,-2.7178131800269902e-08,-2.6141484038345325e-08,-2.6141484038345345e-08
-120.3125,-2.7914845297516818e-08,-2.6841171134387617e-08,-2.6841171134387614e-08
-120.8125,-2.6753746678878465e-08,-2.645112647856703e-08,-2.6451126478567e-08
-121.3125,-2.671401024429125e-08,-2.7033832953410907e-08,-2.7033832953410857e-08
-121.8125,-2.6486717838452398e-08,-2.6784645101227237e-08,-2.6784645101227178e-08
-122.3125,-2.698262854210081e-08,-2.7220347160976368e-08,-2.7220347160976305e-08
-122.8125,-2.6311877526268665e-08,-2.7142217761758804e-08,-2.7142217761758725e-08
-123.3125,-2.603849085630864e-08,-2.7539950605315566e-08,-2.7539950605315484e-08
-123.8125,-2.6455723419474373e-08,-2.7432343288661666e-08,-2.7432343288661586e-08
-124.3125,-2.74260871520941e-08,-2.7941656934226733e-08,-2.7941656934226654e-08
-124.8125,-2.663612683250032e-08,-2.7725293662623782e-08,-2.77252936626237e-08
-125.3125,-2.720038420363874e-08,-2.8304632839196916e-08,-2.8304632839196837e-08
-125.8125,-2.78282198701167e-08,-2.8061536861974705e-08,-2.806153686197465e-08
-126.3125,-2.8920971821265042e-08,-2.870680020273264e-08,-2.8706800202732604e-08
-126.8125,-2.8566522824747104e-08,-2.8310861256533057e-08,-2.8310861256533034e-08
-127.3125,-2.9527349813065903e-08,-2.9253671396032567e-08,-2.925367139603256e-08
-127.8125,-2.9307209965452742e-08,-2.8463648817325096e-08,-2.846364881732509e-08
-128.25,-3.1208995724796736e-08,-2.976701819741544e-08,-2.9767018197415455e-08
-128.75,-2.9825373072469995e-08,-2.8710131366700275e-08,-2.871013136670029e-08
-129.25,-3.092925122530276e-08,-2.9988870725930936e-08,-2.998887072593096e-08
-129.75,-2.9970808423059204e-08,-2.9155913993886744e-08,-2.9155913993886764e-08
-130.25,-3.0797326262473215e-08,-3.006428867936869e-08,-3.006428867936872e-08
-130.75,-3.013770144832549e-08,-2.963283557007063e-08,-2.9632835570070662e-08
-131.25,-3.0148032921318164e-08,-3.028633458525532e-08,-3.028633458525534e-08
-131.75,-2.9752258032829518e-08,-2.9920494607847325e-08,-2.992049460784736e-08
-132.25,-3.030618393097527e-08,-3.062188172698268e-08,-3.062188172698269e-08
-132.75,-2.9097401590832263e-08,-3.010226992311834e-08,-3.010226992311834e-08
-133.25,-2.9726826714693714e-08,-3.093017923903073e-08,-3.093017923903072e-08
-133.75,-2.9392245935469376e-08,-3.0362380575343966e-08,-3.0362380575343946e-08
