potential,current,current_filtered_50Hz,basecurrent_4
-101.0,-1.1305015640061971e-08,-1.0808291169848086e-08,1.972659443193872e-08
-101.5,-1.771927091112982e-08,-1.3032185014339285e-08,1.9691198040207686e-08
-102.0,-1.9294423178166928e-08,-1.4324260214040655e-08,1.9655925840349483e-08
-102.5,-2.0911696065866478e-08,-1.6228168887832677e-08,1.9620777729646197e-08
-103.0,-2.097050598905555e-08,-1.6865810167457162e-08,1.9585753605409832e-08
-103.5,-2.092361699624264e-08,-1.7863758654356076e-08,1.9550853364982302e-08
-104.0,-2.101024242364277e-08,-1.8789771989990408e-08,1.9516076905735453e-08
-104.5,-2.030054970191515e-08,-1.935989438750416e-08,1.9481424125071046e-08
-105.0,-2.009550969944513e-08,-2.0421172397558424e-08,1.9446894920420763e-08
-105.5,-1.9839607060703484e-08,-2.0767294516985482e-08,1.94124891892462e-08
-106.0,-2.0692350946945066e-08,-2.164978181729548e-08,1.9378206829038886e-08
-106.5,-2.073844521106623e-08,-2.172639649296315e-08,1.9344047737320253e-08
-107.0,-2.1058720873839165e-08,-2.2666939527178884e-08,1.9310011811641666e-08
-107.5,-2.075513451359286e-08,-2.2778276942543736e-08,1.9276098949584402e-08
-108.0,-2.2616389109657888e-08,-2.3762947092140484e-08,1.9242309048759664e-08
-108.5,-2.3250582605669807e-08,-2.4023185564290814e-08,1.920864200680857e-08
-109.0,-2.349218012796006e-08,-2.4744501017082127e-08,1.9175097721402155e-08
-109.5,-2.4510227582084445e-08,-2.4757901881515884e-08,1.9141676090241388e-08
-110.0,-2.6304724968042964e-08,-2.5199284265376485e-08,1.9108377011057137e-08
-110.5,-2.5722188836994436e-08,-2.4762901477624028e-08,1.907520038161021e-08
-111.0,-2.593517612638189e-08,-2.5051972319490047e-08,1.904214609969132e-08
-111.5,-2.616644217567947e-08,-2.4470736108604993e-08,1.9009214063121107e-08
-112.0,-2.6839577377586845e-08,-2.4782777183769326e-08,1.897640416975013e-08
-112.5,-2.5950275971525028e-08,-2.4315695565125165e-08,1.8943716317458866e-08
-113.0,-2.593756031245712e-08,-2.4724565664262042e-08,1.891115040415771e-08
-113.5,-2.5154752551089035e-08,-2.4333677552826007e-08,1.8878706327786983e-08
-114.0,-2.5014880301342053e-08,-2.487413977318797e-08,1.8846383986316923e-08
-114.5,-2.39435860248708e-08,-2.4483493560969447e-08,1.8814183277747683e-08
-115.0,-2.413034726743069e-08,-2.5231688479911488e-08,1.8782104100109344e-08
-115.5,-2.3364228808589235e-08,-2.479541858713948e-08,1.8750146351461898e-08
-116.0,-2.408822664676825e-08,-2.570580860633867e-08,1.8718309929895267e-08
-116.5,-2.3295087412407487e-08,-2.5229142921692416e-08,1.8686594733529282e-08
-117.0,-2.4291677191854785e-08,-2.6120593852995853e-08,1.8655000660513702e-08
-117.5,-2.432585052559978e-08,-2.5669312622765734e-08,1.8623527609028203e-08
-118.0,-2.548853860162162e-08,-2.645054809904431e-08,1.859217547728238e-08
-118.5,-2.549092278769685e-08,-2.603919281266911e-08,1.856094416351575e-08
-119.0,-2.6790304198698704e-08,-2.6761048142895586e-08,1.8529833565997743e-08
-119.5,-2.7030312263605462e-08,-2.6392214094745143e-08,1.849884358302772e-08
-120.0,-2.8355919721434885e-08,-2.6963000008948957e-08,1.846797411293495e-08
-120.5,-2.862056437578572e-08,-2.671983137176721e-08,1.8437225054078634e-08
-121.0,-2.8890772130978757e-08,-2.6935451708946282e-08,1.840659630484788e-08
-121.5,-2.8697653058884905e-08,-2.7013697844587536e-08,1.8376087763661727e-08
-122.0,-2.8498176157257098e-08,-2.6794229382343875e-08,1.834569932896913e-08
-122.5,-2.8907461433505388e-08,-2.726328103971873e-08,1.8315430899248952e-08
-123.0,-2.7684373976910985e-08,-2.6887935890063582e-08,1.8285282373010002e-08
-123.5,-2.77042421942046e-08,-2.730704670320446e-08,1.8255253648790982e-08
-124.0,-2.7151905753442328e-08,-2.7313009491806127e-08,1.8225344625160528e-08
-124.5,-2.6349229774780643e-08,-2.7152492314075517e-08,1.8195555200717195e-08
-125.0,-2.636750853469077e-08,-2.7750406530092423e-08,1.8165885274089454e-08
-125.5,-2.5096737356591704e-08,-2.716405324250152e-08,1.81363347439357e-08
-126.0,-2.6202999695499702e-08,-2.7968866218071614e-08,1.810690350894424e-08
