ID,Detection Mode,Peak Potential [mV],Peak Current [A],
NF35,automatic,-191,4.03E-08,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-445,1.79E-08,
NF35,automatic,-662,5.87E-09,
NF35,automatic,-1178,2.39E-08,
NF35,automatic,-1249,5.23E-09,
NF35,automatic,-1270,3.00E-08,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-101,6.58E-10,
NF35,automatic,-587,9.40E-09,
NF35,automatic,-1207,5.35E-09,
NF35,automatic,-1163,5.42E-09,
NF35,automatic,-650,6.26E-09,
NF35,automatic,-145,3.22E-08,
NF35,automatic,-488,1.48E-08,
NF35,automatic,-247,3.31E-08,
NF35,automatic,-298,2.16E-08,
NF35,automatic,-224,3.61E-08,
NF35,manual,-1294,4.33E-09,
