potential,current,current_filtered_50Hz,current_filtered_60Hz,basecurrent_4
-101.0,-1.1123022769652537e-08,-1.18658534989198e-08,-1.1391874877600657e-08,1.663168700203661e-08
-101.5,-1.2980303722258853e-08,-1.3000314934466332e-08,-1.3130023605121102e-08,1.663777879503339e-08
-102.0,-1.6301474925058076e-08,-1.523493342684136e-08,-1.5286322239887032e-08,1.6643898804966668e-08
-102.5,-1.6191007636905627e-08,-1.5254827594960096e-08,-1.629938930604722e-08,1.6650047003997104e-08
-103.0,-1.8793744102368048e-08,-1.770119236787199e-08,-1.8441465023152212e-08,1.6656223364293464e-08
-103.5,-1.9114814493832725e-08,-1.7671391279368644e-08,-1.9096017577124734e-08,1.6662427858032617e-08
-104.0,-2.186775468203481e-08,-1.948561936924401e-08,-2.093515661930499e-08,1.6668660457399528e-08
-104.5,-2.2816660739977448e-08,-2.009373233756834e-08,-2.1455216491358683e-08,1.667492113458727e-08
-105.0,-2.3399196871025986e-08,-2.099484297811869e-08,-2.2549573930040743e-08,1.668120986179701e-08
-105.5,-2.478917735288668e-08,-2.1780423359738102e-08,-2.2805378067524983e-08,1.6687526611238018e-08
-106.0,-2.518654169875881e-08,-2.21895480843395e-08,-2.3191799295430963e-08,1.669387135512766e-08
-106.5,-2.492587068786669e-08,-2.2605885053563863e-08,-2.3175288744438874e-08,1.6700244065691418e-08
-107.0,-2.4700962468103062e-08,-2.2949286778804616e-08,-2.3238847754752643e-08,1.6706644715162855e-08
-107.5,-2.4117631608362786e-08,-2.302841132457661e-08,-2.289698411238184e-08,1.671307327578365e-08
-108.0,-2.3787024472597177e-08,-2.333245084296603e-08,-2.2878890193852566e-08,1.671952971980357e-08
-108.5,-2.259731562105604e-08,-2.3045649269476035e-08,-2.2214601398571058e-08,1.6726014019480495e-08
-109.0,-2.131939188473128e-08,-2.3475355543596722e-08,-2.2302838906116797e-08,1.6732526147080395e-08
-109.5,-1.9900006441276046e-08,-2.2760602861531762e-08,-2.1608303050005925e-08,1.673906607487735e-08
-110.0,-2.0961763973446364e-08,-2.344380592168212e-08,-2.2011376183021167e-08,1.6745633775153538e-08
-110.5,-1.941999031146252e-08,-2.274857595810033e-08,-2.1575214014686024e-08,1.6752229220199228e-08
-111.0,-1.9687813880580333e-08,-2.329012708101211e-08,-2.2252775157953478e-08,1.6758852382312805e-08
-111.5,-2.028703931415549e-08,-2.301877009582905e-08,-2.213321799057133e-08,1.6765503233800744e-08
-112.0,-2.107858909113277e-08,-2.3366209896927872e-08,-2.2955334559884407e-08,1.6772181746977628e-08
-112.5,-2.1750929564348408e-08,-2.3246262191705542e-08,-2.308358028867685e-08,1.6778887894166133e-08
-113.0,-2.302487965721445e-08,-2.3803822055958592e-08,-2.3975672363033716e-08,1.678562164769704e-08
-113.5,-2.35501953224574e-08,-2.3661530336351002e-08,-2.4207835834103417e-08,1.6792382979909234e-08
-114.0,-2.599954915041317e-08,-2.431282680381973e-08,-2.5100487504232933e-08,1.6799171863149697e-08
-114.5,-2.6989781100326508e-08,-2.4341741401261504e-08,-2.522539316520397e-08,1.6805988269773507e-08
-115.0,-2.729257273188107e-08,-2.4874578482890685e-08,-2.6025218481794524e-08,1.681283217214385e-08
-115.5,-2.8239094603748464e-08,-2.481764337032894e-08,-2.5881797704928173e-08,1.6819703542632013e-08
-116.0,-2.950350795231358e-08,-2.5554169638204765e-08,-2.6568951836996552e-08,1.6826602353617377e-08
-116.5,-2.821048437084568e-08,-2.5087543443911832e-08,-2.61146654363338e-08,1.683352857748743e-08
-117.0,-2.872864747786293e-08,-2.602929550592232e-08,-2.6668273256664303e-08,1.684048218663776e-08
-117.5,-2.739986110526654e-08,-2.549903700619456e-08,-2.594988208572296e-08,1.684746315347205e-08
-118.0,-2.7210715676631408e-08,-2.6264609573733705e-08,-2.6391283980261286e-08,1.685447145040209e-08
-118.5,-2.6047232871917832e-08,-2.5874276808200327e-08,-2.556982938558785e-08,1.6861507049847774e-08
-119.0,-2.5095147899208216e-08,-2.6558793625536796e-08,-2.6001469041984058e-08,1.686856992423708e-08
-119.5,-2.354224803553995e-08,-2.6023863079212795e-08,-2.5254863297297903e-08,1.6875660046006107e-08
-120.0,-2.432426106821629e-08,-2.6812088751560493e-08,-2.5746823934581454e-08,1.6882777387599045e-08
-120.5,-2.280076616614257e-08,-2.625831521107032e-08,-2.5203700692629517e-08,1.6889921921468183e-08
-121.0,-2.2794408336608607e-08,-2.6910099450525915e-08,-2.582819151822924e-08,1.6897093620073912e-08
-121.5,-2.322674074491748e-08,-2.6649794343434423e-08,-2.5625783184117663e-08,1.6904292455884727e-08
-122.0,-2.4485590992640376e-08,-2.714006866779212e-08,-2.6370947408654895e-08,1.6911518401377224e-08
-122.5,-2.5109453015659613e-08,-2.6970254532623033e-08,-2.6471839216478234e-08,1.691877142903609e-08
-123.0,-2.636591907730727e-08,-2.748818499307232e-08,-2.7175809801301926e-08,1.692605151135413e-08
-123.5,-2.7062101411275236e-08,-2.7361171069043982e-08,-2.751022237893284e-08,1.6933358620832235e-08
-124.0,-2.9080712288305635e-08,-2.7662816262921954e-08,-2.811326984896636e-08,1.6940692729979397e-08
-124.5,-3.03157206752762e-08,-2.793683172691145e-08,-2.8552770126949014e-08,1.6948053811312722e-08
-125.0,-3.0420624862586435e-08,-2.7862389964084202e-08,-2.8987310805146635e-08,1.6955441837357403e-08
-125.5,-3.19194831752161e-08,-2.832262843369696e-08,-2.9253558059175085e-08,1.6962856780646738e-08
-126.0,-3.2094323487399834e-08,-2.8392850876053315e-08,-2.9556649877284218e-08,1.6970298613722127e-08
-126.5,-3.1739079762190156e-08,-2.842773323195855e-08,-2.947410289642057e-08,1.6977767309133072e-08
-127.0,-3.2104654960392516e-08,-2.8988565915400202e-08,-2.9783944584543127e-08,1.6985262839437173e-08
-127.5,-3.069083261777949e-08,-2.8603538373649335e-08,-2.9286234666372913e-08,1.6992785177200133e-08
-128.0,-3.0520760677746215e-08,-2.938007831058364e-08,-2.965293327546953e-08,1.700033429499575e-08
-128.5,-2.9093427947373534e-08,-2.8859245087437152e-08,-2.8849378302965743e-08,1.7007910165405934e-08
-129.0,-2.8365456465735805e-08,-2.975011779045337e-08,-2.931885750506416e-08,1.701551276102068e-08
