potential,current,current_filtered_()Hz,current_filtered_50Hz,current_filtered_59Hz,basecurrent_4
-100.875,-1.9905569542118256e-08,-1.937251040218896e-08,-1.9372510402188945e-08,-2.0767444688852144e-08,1.8636405814468007e-08
-101.375,-2.5466286198252786e-08,-2.083470486156132e-08,-2.0834704861561315e-08,-2.2199057224089962e-08,1.857915993650197e-08
-101.875,-2.5502843718073015e-08,-2.049589739568073e-08,-2.0495897395680705e-08,-2.227209630948514e-08,1.8522043474270942e-08
-102.375,-2.9157006242713082e-08,-2.2844216470935203e-08,-2.284421647093519e-08,-2.4082216461305578e-08,1.8465056328764713e-08
-102.875,-2.854109150661129e-08,-2.1202265223049817e-08,-2.120226522304979e-08,-2.274611198817869e-08,1.840819840100169e-08
-103.375,-2.988418299565906e-08,-2.365224766934153e-08,-2.365224766934149e-08,-2.4589853471496476e-08,1.8351469592028924e-08
-103.875,-2.705176993828256e-08,-2.1708797378479074e-08,-2.1708797378479015e-08,-2.2711562094431016e-08,1.829486980292207e-08
-104.375,-2.9176079731314944e-08,-2.3951090619167816e-08,-2.395109061916777e-08,-2.4181272402905347e-08,1.823839893478542e-08
-104.875,-2.5221509761195563e-08,-2.229375281774813e-08,-2.229375281774808e-08,-2.229331210718133e-08,1.818205688875189e-08
-105.375,-2.4162931143792208e-08,-2.3560656343738567e-08,-2.356065634373852e-08,-2.3056005274928104e-08,1.812584356598302e-08
-105.875,-2.1567347236555486e-08,-2.266791210845936e-08,-2.2667912108459303e-08,-2.1676750154908872e-08,1.8069758867668984e-08
-106.375,-1.9746623803769406e-08,-2.288351100001536e-08,-2.2883511000015324e-08,-2.208657244017748e-08,1.8013802695028565e-08
-106.875,-1.839240611303721e-08,-2.2730663257636557e-08,-2.273066325763653e-08,-2.144419254311411e-08,1.7957974949309184e-08
-107.375,-1.6854606094512076e-08,-2.2970183198508387e-08,-2.2970183198508374e-08,-2.1872898618729028e-08,1.7902275531786887e-08
-107.875,-1.5833379725620712e-08,-2.2933009078456788e-08,-2.2933009078456788e-08,-2.169484957917786e-08,1.7846704343766342e-08
-108.375,-1.743316858210189e-08,-2.357909050914205e-08,-2.3579090509142053e-08,-2.236920260639468e-08,1.7791261286580843e-08
-108.875,-1.7861527346952043e-08,-2.3346266654377217e-08,-2.334626665437724e-08,-2.2267383462368657e-08,1.7735946261592312e-08
-109.375,-1.8918516506971897e-08,-2.401816178940979e-08,-2.401816178940984e-08,-2.3216052779893788e-08,1.7680759170191297e-08
-109.875,-2.02798867559298e-08,-2.353773901240849e-08,-2.3537739012408528e-08,-2.2931879334987142e-08,1.7625699913796963e-08
-110.375,-2.3339592219145163e-08,-2.4472672429299083e-08,-2.447267242929914e-08,-2.4339369055446213e-08,1.7570768393857113e-08
-110.875,-2.4514201225543167e-08,-2.359792221179002e-08,-2.359792221179008e-08,-2.391122436245983e-08,1.751596451184817e-08
-111.375,-2.8302672899088006e-08,-2.5016643950406767e-08,-2.501664395040684e-08,-2.5763704094149095e-08,1.7461288169275183e-08
-111.875,-2.8903487790046662e-08,-2.3694521100953742e-08,-2.3694521100953818e-08,-2.492735813112237e-08,1.7406739267671822e-08
-112.375,-3.19194831752161e-08,-2.5327063071811903e-08,-2.532706307181197e-08,-2.6762360993649725e-08,1.7352317708600388e-08
-112.875,-3.0681295873478553e-08,-2.363789746700424e-08,-2.3637897467004306e-08,-2.5350049124974468e-08,1.729802339365181e-08
-113.375,-3.180186332883795e-08,-2.545622294548772e-08,-2.5456222945487767e-08,-2.6904704346714944e-08,1.7243856224445635e-08
-113.875,-2.9475692448102528e-08,-2.3720383188590092e-08,-2.3720383188590102e-08,-2.5323074186342052e-08,1.7189816102630044e-08
-114.375,-3.0984882233724856e-08,-2.547513763986714e-08,-2.5475137639867133e-08,-2.646265200748596e-08,1.7135902929881833e-08
-114.875,-2.7306877848332466e-08,-2.4254366001917862e-08,-2.4254366001917826e-08,-2.5000343052819657e-08,1.7082116607906435e-08
-115.375,-2.570391007708431e-08,-2.516019995752136e-08,-2.5160199957521297e-08,-2.5442517119187002e-08,1.70284570384379e-08
-115.875,-2.380768741858253e-08,-2.4721737464961005e-08,-2.4721737464960936e-08,-2.4246386279137608e-08,1.697492412323891e-08
-116.375,-2.151807405766734e-08,-2.4864089762639943e-08,-2.486408976263986e-08,-2.4169694704956765e-08,1.6921517764100768e-08
-116.875,-1.950899992493788e-08,-2.4844239098225392e-08,-2.484423909822533e-08,-2.351299974640717e-08,1.6868237862843405e-08
-117.375,-1.8448831850151042e-08,-2.4999046918493443e-08,-2.499904691849337e-08,-2.3448042336414328e-08,1.6815084321315376e-08
-117.875,-1.80474938608202e-08,-2.5061266019253397e-08,-2.506126601925337e-08,-2.332905520992015e-08,1.6762057041393865e-08
-118.375,-1.894076891034073e-08,-2.519600138028732e-08,-2.519600138028732e-08,-2.355141630523996e-08,1.6709155924984675e-08
-118.875,-1.948197914941857e-08,-2.5270927555384543e-08,-2.5270927555384563e-08,-2.355158995066511e-08,1.665638087402224e-08
-119.375,-1.978079713751441e-08,-2.5350080061615083e-08,-2.535008006161512e-08,-2.4280723442592816e-08,1.660373179046962e-08
-119.875,-2.1920206775689933e-08,-2.507564422930062e-08,-2.5075644229300664e-08,-2.4153468489003703e-08,1.6551208576318495e-08
-120.375,-2.5175415497074385e-08,-2.5928070557136326e-08,-2.5928070557136366e-08,-2.5693722759761e-08,1.649881113358918e-08
-120.875,-2.5974117832277358e-08,-2.476902262223892e-08,-2.4769022622238948e-08,-2.5177417289211133e-08,1.644653936433061e-08
-121.375,-3.025373183732015e-08,-2.6645371734966783e-08,-2.664537173496679e-08,-2.7334817270161838e-08,1.639439317062034e-08
-121.875,-2.9760205319746966e-08,-2.467912146052464e-08,-2.4679121460524628e-08,-2.6130248064274557e-08,1.6342372454564557e-08
-122.375,-3.330707947100157e-08,-2.6902046729801678e-08,-2.6902046729801668e-08,-2.8414240803501402e-08,1.629047711829808e-08
-122.875,-3.1901204415305986e-08,-2.4658428777724905e-08,-2.4658428777724905e-08,-2.6640934020927576e-08,1.623870706398434e-08
-123.375,-3.36543759092938e-08,-2.6883157315452404e-08,-2.688315731545239e-08,-2.857708643787588e-08,1.61870621938154e-08
-123.875,-3.059705463215366e-08,-2.4875092724618904e-08,-2.4875092724618914e-08,-2.667550950823557e-08,1.6135542410011952e-08
-124.375,-3.188451511277935e-08,-2.6783271096704768e-08,-2.6783271096704805e-08,-2.7945551729364503e-08,1.6084147614823313e-08
-124.875,-2.8634074763545364e-08,-2.5541640619522547e-08,-2.5541640619522583e-08,-2.631280641340945e-08,1.6032877710527413e-08
-125.375,-2.7279062344121414e-08,-2.642123868973052e-08,-2.6421238689730543e-08,-2.681472086845828e-08,1.5981732599430828e-08
-125.875,-2.5074484953222866e-08,-2.605809276650042e-08,-2.605809276650044e-08,-2.5514921571670717e-08,1.5930712183868744e-08
-126.375,-2.2487643061595327e-08,-2.615413132447385e-08,-2.6154131324473867e-08,-2.5496344869890567e-08,1.5879816366204975e-08
-126.875,-2.082109699500764e-08,-2.6064100777229425e-08,-2.6064100777229425e-08,-2.4597359212478933e-08,1.5829045048831972e-08
-127.375,-1.983165977378604e-08,-2.645302294931849e-08,-2.6453022949318488e-08,-2.473833772772492e-08,1.5778398134170795e-08
-127.875,-1.874129200871293e-08,-2.6097727709035377e-08,-2.6097727709035344e-08,-2.4295103628836946e-08,1.5727875524671143e-08
-128.375,-2.061844117861285e-08,-2.6800355092487408e-08,-2.6800355092487368e-08,-2.4915270593528346e-08,1.567747712281133e-08
-128.875,-2.067486691572669e-08,-2.625228389274933e-08,-2.625228389274929e-08,-2.4580568527185294e-08,1.5627202831098305e-08
-129.375,-2.14688008787792e-08,-2.6815862502673568e-08,-2.6815862502673518e-08,-2.5597542358194284e-08,1.5577052552067638e-08
-129.875,-2.2898517795227106e-08,-2.614042219256121e-08,-2.6140422192561178e-08,-2.524800521120965e-08,1.5527026188283522e-08
-130.375,-2.609889023688121e-08,-2.7025225670635587e-08,-2.702522567063555e-08,-2.6795390688491297e-08,1.5477123642338783e-08
-130.875,-2.7228994436541527e-08,-2.6015899735520908e-08,-2.6015899735520885e-08,-2.6444242786679497e-08,1.5427344816854864e-08
-131.375,-3.1117601925246146e-08,-2.7451932308755075e-08,-2.7451932308755058e-08,-2.827612271260083e-08,1.537768961448184e-08
-131.875,-3.1314694640798716e-08,-2.6118291925936696e-08,-2.611829192593668e-08,-2.756833673556404e-08,1.532815793789841e-08
-132.375,-3.405809808469988e-08,-2.7543522508813054e-08,-2.7543522508813067e-08,-2.918687397468205e-08,1.5278749689811896e-08
-132.875,-3.3421520402612725e-08,-2.6167716630017003e-08,-2.6167716630017013e-08,-2.8055095711741304e-08,1.522946477295825e-08
