potential,current
-100.375,-4.0165588080754445e-08
-100.5,-1.050075020401679e-08
-100.625,-6.869634811437306e-09
-100.8125,-3.11454174294572e-09
-100.9375,2.5097532085283447e-09
-101.125,3.197193526887122e-09
-101.25,3.308455543731317e-09
-101.375,8.060933120361938e-09
-101.5625,4.541397636103348e-08
-101.6875,4.4577127048626785e-08
-101.875,3.795783177508892e-08
-102.0,1.6800564543473468e-08
-102.125,8.583069870837912e-09
-102.3125,1.924832891404576e-09
-102.4375,-3.4459436074030726e-09
-102.625,-3.813902991680661e-09
-102.75,-4.290740206727211e-09
-102.875,-1.0954540287002756e-08
-103.0625,-4.822652120111639e-08
-103.1875,-4.589081357608003e-08
-103.375,-4.030784451657667e-08
-103.5,-1.1002224008507412e-08
-103.625,-6.755193879826134e-09
-103.8125,-3.156662363608165e-09
-103.9375,2.631346698365215e-09
-104.125,3.027121586853852e-09
-104.25,3.386338955522254e-09
-104.375,8.348624906773357e-09
-104.5625,4.539490287243162e-08
-104.6875,4.43546030149384e-08
-104.875,3.803968883033858e-08
-105.0,1.6586782525394263e-08
-105.125,8.538565064100234e-09
-105.3125,1.921653976637599e-09
-105.4375,-3.4562750803957476e-09
-105.625,-3.9021178764642725e-09
-105.75,-4.100005320708591e-09
-105.875,-1.153469223197606e-08
-106.0625,-4.811843809903917e-08
-106.1875,-4.600048613554074e-08
-106.375,-4.000902652848083e-08
-106.5,-1.0875067417828331e-08
-106.625,-6.738504577299505e-09
-106.8125,-3.1359994176228147e-09
-106.9375,2.71081956753964e-09
-107.125,2.991358795725361e-09
-107.25,3.5158797322765668e-09
-107.375,8.397898085661501e-09
-107.5625,4.539728705850685e-08
-107.6875,4.448414379169271e-08
-107.875,3.7899021851899844e-08
-108.0,1.66161874869888e-08
-108.125,8.49882862951302e-09
-108.3125,1.8103919597934038e-09
-108.4375,-3.4546856230122594e-09
-108.625,-3.887018031321132e-09
-108.75,-4.2064989654023205e-09
-108.875,-1.1773905568191079e-08
-109.0625,-4.821936864289069e-08
-109.1875,-4.571676799258804e-08
-109.375,-4.0064657536902926e-08
-109.5,-1.067638524489227e-08
-109.625,-6.744862406833458e-09
-109.8125,-3.1089786421035103e-09
-109.9375,2.709230110156152e-09
-110.125,3.0239426720868753e-09
-110.25,3.3982598858984174e-09
-110.375,8.916061192678752e-09
-110.5625,4.529794597203882e-08
-110.6875,4.4542953714881784e-08
-110.8125,3.7631198282782034e-08
-111.0,1.6299090738982845e-08
-111.125,8.511544288580928e-09
-111.3125,1.7809869981988665e-09
-111.4375,-3.5635634537812216e-09
-111.5625,-3.7050251609116985e-09
-111.75,-4.19696222110139e-09
-111.875,-1.1951130066450046e-08
