potential,current
-101.125,-1.5179318012315196e-08
-101.625,-1.719713416065385e-08
-102.125,-1.984437543285395e-08
-102.625,-2.0743213583216695e-08
-103.125,-2.332210818792679e-08
-103.625,-2.289772306653536e-08
-104.125,-2.523978852110567e-08
-104.625,-2.5043490534244838e-08
-105.125,-2.5093558441824728e-08
-105.625,-2.5064948208921934e-08
-106.125,-2.4949712548619017e-08
-106.625,-2.3547811136382157e-08
-107.125,-2.3485822298426108e-08
-107.625,-2.2479695774677886e-08
-108.125,-2.2250019182763796e-08
-108.625,-2.209584181656541e-08
-109.125,-2.1198593123586153e-08
-109.625,-2.1167598704608125e-08
-110.125,-2.276261918893884e-08
-110.625,-2.1974248326728542e-08
-111.125,-2.363205237770705e-08
-111.625,-2.448479626394863e-08
-112.125,-2.6127500469783998e-08
-112.625,-2.628883039420808e-08
-113.125,-2.8676990112899555e-08
-113.625,-2.7826630412733204e-08
-114.125,-2.986113586359849e-08
-114.625,-2.93962195789281e-08
-115.125,-3.010511757196397e-08
-115.625,-2.905766515624505e-08
-116.125,-2.920310050683425e-08
-116.625,-2.7914050568825072e-08
-117.125,-2.7497612734351087e-08
-117.625,-2.6354792875622854e-08
-118.125,-2.6229225742327262e-08
-118.625,-2.5627616122676863e-08
-119.125,-2.5538606509201507e-08
-119.625,-2.5118989759960542e-08
-120.125,-2.6329361557487036e-08
-120.625,-2.5990807134803986e-08
-121.125,-2.7391119089657357e-08
-121.625,-2.8148495532889627e-08
-122.125,-2.9789610281341506e-08
-122.625,-2.9884977724350815e-08
-123.125,-3.162940720272945e-08
-123.625,-3.2128496821144835e-08
-124.125,-3.349304598486972e-08
-124.625,-3.277381651884117e-08
-125.125,-3.3358736835964936e-08
-125.625,-3.2896999466061525e-08
-126.125,-3.240585713456358e-08
-126.625,-3.149112441036595e-08
-127.125,-3.1277342392286745e-08
-127.625,-2.9750668575446037e-08
-128.125,-3.024657927909445e-08
-128.625,-2.9225352910203088e-08
-129.125,-2.818823196747684e-08
-129.625,-2.8847062052932823e-08
-130.125,-2.9301646864610535e-08
-130.625,-2.939383539285287e-08
-131.125,-3.0660632927493203e-08
-131.625,-3.146887200699711e-08
-132.125,-3.3374631409799825e-08
-132.625,-3.3415957301770525e-08
-133.125,-3.5057866778914146e-08
-133.625,-3.497044662282228e-08
-134.125,-3.668149749614765e-08
-134.625,-3.5851800741966654e-08
-135.125,-3.6418442299180306e-08
-135.625,-3.618399733511575e-08
-136.125,-3.552834616442674e-08
-136.625,-3.477971173680366e-08
-137.125,-3.4367247545788395e-08
-137.625,-3.274282209986314e-08
-138.125,-3.28175265968871e-08
-138.625,-3.206332906842181e-08
-139.0625,-3.2016440075608895e-08
-139.5625,-3.137509402137129e-08
-140.0625,-3.280957930996966e-08
-140.5625,-3.2304131862020316e-08
-141.0625,-3.371954366201683e-08
-141.5625,-3.442764692636095e-08
-142.0625,-3.570954430614443e-08
-142.5625,-3.6544804161167637e-08
-143.0625,-3.77814020055217e-08
-143.5625,-3.788630619283194e-08
-144.0625,-3.9436027141733224e-08
-144.5625,-3.910065163381715e-08
-145.0625,-3.8953626825844464e-08
-145.5625,-3.8882101243587485e-08
-146.0625,-3.830910185683988e-08
-146.5625,-3.7063761996876636e-08
-147.0625,-3.6815011916360684e-08
-147.5625,-3.5440131279643134e-08
-148.0625,-3.524621747885753e-08
-148.5625,-3.4351352971953506e-08
-149.0625,-3.3962730641690566e-08
-149.5625,-3.410498707751279e-08
-150.0625,-3.4658118246966785e-08
-150.5625,-3.4577850649100616e-08
-151.0625,-3.60322041549926e-08
-151.5625,-3.6579772223604384e-08
-152.0625,-3.770749223718948e-08
-152.5625,-3.878673380057817e-08
-153.0625,-4.011154652971584e-08
-153.5625,-3.95846414070894e-08
-154.0625,-4.187504949669633e-08
-154.5625,-4.091422250837753e-08
-155.0625,-4.099846374970242e-08
-155.5625,-4.072666653712589e-08
-156.0625,-4.063924638103402e-08
-156.5625,-3.945271644425985e-08
-157.0625,-3.902594713679319e-08
-157.5625,-3.7555699057066326e-08
-158.0625,-3.7464305257515736e-08
-158.5625,-3.688494804123418e-08
-159.0625,-3.6048098728827486e-08
-159.5625,-3.659725625482276e-08
-160.0625,-3.6949321065265465e-08
-160.5625,-3.711939300529873e-08
-161.0625,-3.801902588435323e-08
-161.5625,-3.875097100944968e-08
-162.0625,-4.009883087064793e-08
-162.5625,-4.0853823127804966e-08
-163.0625,-4.249255369018161e-08
-163.5625,-4.209916298776821e-08
-164.0625,-4.415035774116012e-08
-164.5625,-4.314661540348713e-08
-165.0625,-4.3689415099948457e-08
-165.5625,-4.2914554625497814e-08
-166.0625,-4.302502191365026e-08
-166.5625,-4.1258340031902795e-08
-167.0625,-4.142046468501862e-08
-167.5625,-4.002492110231572e-08
-168.0625,-3.957669412017196e-08
-168.5625,-3.887971705751225e-08
-169.0625,-3.823121844504894e-08
-169.5625,-3.823678154589115e-08
-170.0625,-3.934145442741566e-08
-170.5625,-3.906250465661343e-08
-171.0625,-3.991445381416326e-08
-171.5625,-4.0779913359472756e-08
-172.0625,-4.245043306951917e-08
-172.5625,-4.2715077723870006e-08
-173.0625,-4.401128022010488e-08
-173.5625,-4.4309303479508975e-08
-174.0625,-4.5581664114991515e-08
-174.5625,-4.5320993104099403e-08
-175.0625,-4.528284612689568e-08
-175.5625,-4.473130441482517e-08
-176.0625,-4.470507836799761e-08
-176.5625,-4.30957527672155e-08
-177.0625,-4.3008332611123634e-08
-177.5625,-4.1512653213260954e-08
-178.0625,-4.1201119566097206e-08
-178.5625,-4.0421490719496095e-08
-179.0625,-3.97157716412272e-08
-179.5625,-3.988981722471919e-08
