potential,current
-100.875,-4.4536595885347824e-09
-101.375,-1.082817842501542e-08
-101.875,-1.2085439215354826e-08
-102.375,-1.4651618160997012e-08
-102.875,-1.3816358305973804e-08
-103.375,-1.5855632128989554e-08
-103.875,-1.5325548091596137e-08
-104.375,-1.8014909984458683e-08
-104.875,-1.7403763620507355e-08
-105.375,-1.9192697905623663e-08
-105.875,-1.9185545347397965e-08
-106.375,-2.1668277780407005e-08
-106.875,-2.0593804589168778e-08
-107.375,-2.183596553436504e-08
-107.875,-2.104838940084649e-08
-108.375,-2.218167251527379e-08
-108.875,-2.107858909113277e-08
-109.375,-2.108176800589975e-08
-109.875,-1.9811791556492433e-08
-110.375,-2.063354102375599e-08
-110.875,-1.8345517120224292e-08
-111.375,-1.8537046734934655e-08
-111.875,-1.7761391531792267e-08
-112.375,-1.9383432791642284e-08
-112.875,-1.7625492925504e-08
-113.375,-1.8942358367724223e-08
-113.875,-1.8905800847903988e-08
-114.375,-2.0510358076535632e-08
-114.875,-1.9835633417244762e-08
-115.375,-2.1685761811625378e-08
-115.875,-2.1625362431052817e-08
-116.375,-2.3683709742670424e-08
-116.875,-2.2823813298203147e-08
-117.375,-2.3743314394551243e-08
-117.875,-2.2975606478326298e-08
-118.375,-2.382676090718439e-08
-118.875,-2.318779903902201e-08
-119.375,-2.272526694042686e-08
-119.875,-2.1393301653063493e-08
-120.375,-2.2365254843066712e-08
-120.875,-2.0025573574571637e-08
-121.375,-2.0213924274515024e-08
-121.875,-1.9893648611742093e-08
-122.375,-2.0338696679118873e-08
-122.875,-1.92221028672182e-08
-123.375,-2.0755929242284604e-08
-123.875,-2.0247302879568283e-08
-124.375,-2.1885238713253186e-08
-124.875,-2.140045421128919e-08
-125.375,-2.2691093606681857e-08
-125.875,-2.322117764407527e-08
-126.375,-2.501567503003379e-08
-126.875,-2.4111273778828833e-08
-127.375,-2.513329487641194e-08
-127.875,-2.4401349751315485e-08
-128.375,-2.5910539536937816e-08
-128.875,-2.4543606187137704e-08
-129.375,-2.4000011761984636e-08
-129.8125,-2.2888981050926173e-08
-130.3125,-2.3446085863838892e-08
-130.8125,-2.1443369560643383e-08
-131.3125,-2.1298728938745926e-08
-131.8125,-2.1137399014321846e-08
-132.3125,-2.1932127706066096e-08
-132.8125,-2.0583473116176103e-08
-133.3125,-2.148787436738106e-08
-133.8125,-2.1544300104494902e-08
-134.3125,-2.3151241519201776e-08
-134.8125,-2.2925538570746408e-08
-135.3125,-2.4011137963669056e-08
-135.8125,-2.4468106961422002e-08
-136.3125,-2.5793714419251412e-08
-136.8125,-2.5699141704933846e-08
-137.3125,-2.6207768067650167e-08
-137.8125,-2.5884313490110256e-08
-138.3125,-2.6213331168492377e-08
-138.8125,-2.5450391624417894e-08
-139.3125,-2.5180978597916595e-08
-139.8125,-2.4329824169058502e-08
-140.3125,-2.4271014245869425e-08
-140.8125,-2.3025674385906185e-08
-141.3125,-2.2865139190173847e-08
-141.8125,-2.210061018871588e-08
