potential,current,current_filtered_50Hz,basecurrent_4
-101.125,4.1564310578224335e-10,1.7407861216759903e-10,-2.0461509850574333e-10
-101.625,7.510186136983172e-10,2.5655641818320596e-10,-2.0422656575290848e-10
-102.125,6.365776820871451e-10,1.121430645386545e-11,-2.0383848483061162e-10
-102.625,2.346039098029029e-09,4.5459838501602094e-10,-2.0345085544644314e-10
-103.125,2.969106392356522e-09,1.7686243107592444e-10,-2.03063677308077e-10
-103.625,2.547900185732069e-09,3.3397706198725257e-10,-2.026769501232708e-10
-104.125,1.1356673005025348e-09,6.035736940209247e-11,-2.022906735998658e-10
-104.625,4.792214011217833e-10,-1.8234383400214492e-10,-2.019048474457868e-10
-105.125,4.506111682189904e-10,-2.2331627030980307e-10,-2.0151947136904232e-10
-105.625,-4.4822698214375757e-10,-4.451371047715806e-10,-2.011345450777244e-10
-106.125,-9.997686942142678e-10,-2.0758312436881995e-10,-2.0075006828000882e-10
-106.625,-1.3144812561449914e-09,-5.283300304396904e-10,-2.0036604068415487e-10
-107.125,-1.2111665262182385e-09,-2.819467232218522e-10,-1.9998246199850552e-10
-107.625,-2.895991352716051e-09,-8.055152278818046e-10,-1.9959933193148736e-10
-108.125,-3.445148878711328e-09,-5.10255898828712e-10,-1.9921665019161055e-10
-108.625,-3.232161589323869e-09,-7.324906578754294e-10,-1.9883441648746895e-10
-109.125,-1.6689302526629273e-09,-3.8022403949313046e-10,-1.9845263052773997e-10
-109.625,-1.0220210975831068e-09,-2.5129925557226246e-10,-1.980712920211847e-10
-110.125,-1.0061265237482218e-09,-2.5715738635882407e-10,-1.9769040067664784e-10
-110.625,-1.0728837338547388e-10,-1.2553240278336078e-10,-1.9730995620305766e-10
-111.125,4.1882202054922033e-10,-4.3544192076553536e-10,-1.9692995830942611e-10
-111.625,7.629395440744809e-10,-1.8622714804288716e-10,-1.9655040670484874e-10
-112.125,7.414818693973863e-10,-3.836853428409579e-10,-1.9617130109850473e-10
-112.625,2.2506716550197192e-09,1.3784226625561222e-11,-1.9579264119965686e-10
-113.125,2.9516223611381488e-09,-1.4009790670710915e-10,-1.9541442671765154e-10
-113.625,2.5908155350862584e-09,-1.3760329582276475e-12,-1.9503665736191882e-10
-114.125,1.1261305562016035e-09,-2.423607409756019e-10,-1.9465933284197236e-10
-114.625,4.887581454227144e-10,-3.2599311378731067e-10,-1.9428245286740942e-10
-115.125,4.5140589691073465e-10,-3.4604379611160576e-10,-1.9390601714791093e-10
-115.625,-3.0199690286281537e-10,-3.745998755937485e-10,-1.9353002539324142e-10
